Name,link,summary,storyline
The Exorcist,/title/tt0070047/,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.","A visiting actress in Washington, D.C., notices dramatic and dangerous changes in the behavior and physical make-up of her 12-year-old daughter. Meanwhile, a young priest at nearby Georgetown University begins to doubt his faith while dealing with his mother's terminal sickness. And, book-ending the story, a frail, elderly priest recognizes the necessity for a show-down with an old demonic enemy. —Andrew Harmon <aharmon@erols.com>"
Rocky,/title/tt0075148/,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"Rocky Balboa is a struggling boxer trying to make the big time, working as a debt collector for a pittance. When heavyweight champion Apollo Creed visits Philadelphia, his managers want to set up an exhibition match between Creed and a struggling boxer, touting the fight as a chance for a ""nobody"" to become a ""somebody"". The match is supposed to be easily won by Creed, but someone forgot to tell Rocky, who sees this as his only shot at the big time. —Murray Chapman <muzzle@cs.uq.oz.au>"
Big Fish,/title/tt0319061/,A frustrated son tries to determine the fact from fiction in his dying father's life.A frustrated son tries to determine the fact from fiction in his dying father's life.A frustrated son tries to determine the fact from fiction in his dying father's life.,"United Press International journalist Will Bloom and his French freelance photojournalist wife Josephine Bloom, who is pregnant with their first child, leave their Paris base to return to Will's hometown of Ashton, Alabama on the news that his father, Edward Bloom, stricken with cancer, will soon die, he being taken off chemotherapy treatment. Although connected indirectly through Will's mother/Edward's wife, Sandra Bloom, Will has been estranged from his father for three years since his and Josephine's wedding. Will's issue with his father is the fanciful tales Edward has told of his life all his life, not only to Will but the whole world. As a child when Edward was largely absent as a traveling salesman, Will believed those stories, but now realizes that he does not know his father, who, as he continues to tell these stories, he will never get to know unless Edward comes clean with the truth before he dies. On the brink of his own family life beginning, Will does not want to be the kind of father Edward has been to him. One of those stories from Edward's childhood - that he saw his own death in the glass eye of a witch - led to him embracing life since he would not have to fear death knowing when and how it would eventually come. The question is whether Will will be able to reconcile Edward's stories against his real life, either directly from Edward before he dies and/or from other sources, and thus allow Will to come to a new understanding of himself and his life, past, present and future. —Huggo"
Beauty and the Beast,/title/tt0101414/,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"Having lived a life in selfishness, young Prince Adam is cursed by a mysterious enchantress to having the appearance of a monstrous beast. His only hope is to learn to love a young woman and earn her love in return in order to redeem himself. Ten years later, his chance shows itself when a young maiden named Belle (Paige O'Hara) offers to take her ill father Maurice's (Rex Everhart's) place as his prisoner. With help from the castle's enchanted staff, Belle learns to appreciate her captor and immediately falls in love with him. Back in the village however, unscrupulous hunter Gaston (Richard White) has his own plans for Belle. —Blazer346"
Mystic River,/title/tt0327056/,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.The lives of three men who were childhood friends are shattered when one of them has a family tragedy.The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,"In the summer of 1975 in a neighborhood in Boston, three kids- Dave Boyle and his two friends, Jimmy Markum and Sean Devine- are playing on the sidewalk when Dave gets abducted by two men and endures days of sexual abuse. Eventually Dave escapes, but is traumatized throughout adulthood. Jimmy is an ex-con and a father of three, whose daughter Katie is found dead, and Dave becomes the number one suspect. Sean is a homicide detective investigating Katie's murder, and finds himself faced with past and present demons as more is uncovered about Katie's murder. Learning Katie had a boyfriend, ballistics later connect a gun belonging to his father to the murder, setting her boyfriend as the suspect. Will Sean find out who killed Katie? Will Jimmy make it through the investigation? And will Dave ever admit what really happened when he was abducted? —michigans_finest"
Shutter Island,/title/tt1130884/,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","In 1954, up-and-coming U.S. marshal Teddy Daniels is assigned to investigate the disappearance of a patient from Boston's Shutter Island Ashecliffe Hospital. He's been pushing for an assignment on the island for personal reasons, but before long he thinks he's been brought there as part of a twisted plot by hospital doctors whose radical treatments range from unethical to illegal to downright sinister. Teddy's shrewd investigating skills soon provide a promising lead, but the hospital refuses him access to records he suspects would break the case wide open. As a hurricane cuts off communication with the mainland, more dangerous criminals ""escape"" in the confusion, and the puzzling, improbable clues multiply, Teddy begins to doubt everything - his memory, his partner, even his own sanity. —alfiehitchie"
Buried,/title/tt1462758/,Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race agains... Read allPaul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap.Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap.,"Waking groggy in pitch darkness, Paul Conroy, an American truck driver working in Iraq in 2006, slowly realizes he is trapped inside a wooden coffin, buried alive. With his cigarette lighter, he can see the trap he is in, and he quickly realizes that there's not enough air for him to live long. He finds within the coffin a working cellphone, which allows him contact with the outside world. But the outside world proves not to be very helpful at finding a man buried in a box in the middle of the Iraqi desert. Paul must rely on his best resource--himself. —Jim Beaver <jumblejim@prodigy.net>"
The Bank Job,/title/tt0200465/,Martine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry along with a treasure trove of di... Read allMartine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry along with a treasure trove of dirty secrets.Martine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry along with a treasure trove of dirty secrets.,"Business is slow for Terry Leather, a London car dealer, married with children. He's an artful dodger, so Martine, a former model with a thing for him, brings him her scheme: a bank's alarm is off for a couple weeks, so let's tunnel into the vault. He assembles a team, not realizing her real goal is a safe-deposit box with compromising photos of a royal: she needs the photos to trade for avoiding a jail sentence - and MI-5, or is it MI-6, is pulling the strings two steps removed. A Trinidadian thug, a high-end bordello owner, and a pornographer also have things stored in the vault, so the break-in threatens many a powerful personage. Is there any way these amateurs can pull it off? —<jhailey@hotmail.com>"
Robin Hood,/title/tt0955308/,"In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of wo... Read allIn twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.","Birth of a legend. Following King Richard's (Danny Huston's) death in France, archer Robin Longstride (Russell Crowe), along with Will Scarlet (Scott Grimes), Allan A'Dayle (Alan Doyle), and Little John (Kevin Durand), returns to England. They encounter the dying Sir Robert Loxley (Douglas Hodge), whose party was ambushed by treacherous Godfrey (Mark Strong), who hopes to facilitate a French invasion of England. Robin promises the dying knight he will return his sword to his father Sir Walter Loxley (Max von Sydow) in Nottingham. Here, Sir Walter encourages him to impersonate the dead man to prevent his land being confiscated by the crown, and he finds himself with Marion (Cate Blanchett), a ready-made wife. Hoping to stir baronial opposition to weak Prince John (Oscar Isaac) and allow an easy French take-over, Godfrey worms his way into the Prince's service as Earl Marshal of England and brutally invades towns under the pretext of collecting Royal taxes. Can Robin navigate the politics of barons, royals, traitors, and the French? —don @ minifie-1"
Saving Private Ryan,/title/tt0120815/,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Opening with the Allied invasion of Normandy on 6 June 1944, members of the 2nd Ranger Battalion under Cpt. Miller fight ashore to secure a beachhead. Amidst the fighting, two brothers are killed in action. Earlier in New Guinea, a third brother is KIA. Their mother, Mrs. Ryan, is to receive all three of the grave telegrams on the same day. The United States Army Chief of Staff, George C. Marshall, is given an opportunity to alleviate some of her grief when he learns of a fourth brother, Private James Ryan, and decides to send out 8 men (Cpt. Miller and select members from 2nd Rangers) to find him and bring him back home to his mother... —J.Zelman"
A Perfect Getaway,/title/tt0971209/,Two pairs of lovers on a Hawaiian vacation discover that psychopaths are stalking and murdering tourists on the islands.Two pairs of lovers on a Hawaiian vacation discover that psychopaths are stalking and murdering tourists on the islands.Two pairs of lovers on a Hawaiian vacation discover that psychopaths are stalking and murdering tourists on the islands.,"For their honeymoon, newlyweds Cliff and Cydney head to the tropical islands of Hawaii. While journeying through the paradisaical countryside the couple encounters Kale and Cleo, two disgruntled hitchhikers and Nick and Gina, two wild but well-meaning spirits who help guide them through the lush jungles. The picturesque waterfalls and scenic mountainsides quickly give way to terror when Cliff and Cydney learn of a grisly murder that occurred nearby and realize that they're being followed by chance acquaintances that suspiciously fit the description of the killers. —The Massie Twins"
Sherlock Holmes,/title/tt0988045/,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,"After finally catching serial killer and occult ""sorcerer"" Lord Blackwood, legendary sleuth Sherlock Holmes and his assistant Dr. Watson can close yet another successful case. But when Blackwood mysteriously returns from the grave and resumes his killing spree, Holmes must take up the hunt once again. Contending with his partner's new fiancée and the dimwitted head of Scotland Yard, the dauntless detective must unravel the clues that will lead him into a twisted web of murder, deceit, and black magic - and the deadly embrace of temptress Irene Adler. —The Massie Twins"
Sin City,/title/tt0401792/,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.","Four tales of crime adapted from Frank Miller's popular comics, focusing around a muscular brute who's looking for the person responsible for the death of his beloved Goldie (Jaime King), a man fed up with Sin City's corrupt law enforcement who takes the law into his own hands after a horrible mistake, a cop who risks his life to protect a girl from a deformed pedophile and a hitman looking to make a little cash. —Tom Benton"
Harry Potter and the Half-Blood Prince,/title/tt0417741/,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.","During Harry Potter's sixth year at Hogwarts, he finds a book that once belonged to the mysterious Half-Blood Prince that earns him the respect of his new Potions professor Horace Slughorn. In addition, Dumbledore must prepare Harry for the ultimate final confrontation by finding out the secret behind Voldemort's power. Meanwhile, a hidden enemy waits in the shadows to carry out a mission given to him by the Dark Lord. —Blazer346"
Star Wars: Episode I - The Phantom Menace,/title/tt0120915/,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.","The evil Trade Federation, led by Nute Gunray is planning to take over the peaceful world of Naboo. Jedi Knights Qui-Gon Jinn and Obi-Wan Kenobi are sent to confront the leaders. But not everything goes to plan. The two Jedi escape, and along with their new Gungan friend, Jar Jar Binks head to Naboo to warn Queen Amidala, but droids have already started to capture Naboo and the Queen is not safe there. Eventually, they land on Tatooine, where they become friends with a young boy known as Anakin Skywalker. Qui-Gon is curious about the boy, and sees a bright future for him. The group must now find a way of getting to Coruscant and to finally solve this trade dispute, but there is someone else hiding in the shadows. Are the Sith really extinct? Is the Queen really who she says she is? And what's so special about this young boy? —simon"
X-Men Origins: Wolverine,/title/tt0458525/,"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolv... Read allThe early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.","Two mutant brothers, Logan and Victor, born two hundred years ago, suffer childhood trauma and have only each other to depend on. Basically, they're fighters and killers, living from war to war throughout U.S. history. In modern times, a U.S. Colonel, Stryker, recruits them and other mutants as commandos. Logan quits and becomes a logger, falling in love with a local teacher. When Logan refuses to rejoin Stryker's crew, the Colonel sends the murderous Victor. Logan now wants revenge. —<jhailey@hotmail.com>"
Watchmen,/title/tt0409459/,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the... Read allIn 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.","It's 1985 in an alternate reality. The Watchmen - comprised of the Comedian, Dr. Manhattan, Nite Owl II, Ozymandias, Rorschach and Silk Spectre II - are a disparate band of masked superheroes, modeled after the Minutemen, who were masked superheroes of a generation earlier, most of who are dead or afflicted by the ravages of life. The Comedian belongs to both groups. Despite the activities of the Watchmen leading to the west winning the Vietnam War which in turn has kept Richard Nixon in the White House, Nixon has now outlawed masks, resulting in the Watchmen disbanding and going into retirement, most hiding their Watchmen past under their human identities. However, the Comedian, in his human persona of Eddie Blake, and Dr. Manhattan - former physicist Jon Osterman who obtained his superhero powers through a scientific accident which almost killed him - now work for the government. Dr. Manhattan's powers in particular have kept a watch over nuclear proliferation, as he is able to stop any nuclear attack. Regardless, the Cold War is at its height with recent Soviet posturing regarding nuclear bomb buildup. In her human persona of Laurie Jupiter, Silk Spectre II is Dr. Manhattan's assistant and lover, as much as they can be in Dr. Manhattan's now non-human state. Meanwhile, Ozymandias has come out to the world as wealthy genius Adrian Veidt, capitalizing on his Ozymandias identity to better the world, and Rorschach continues to work as a vigilante, although one wanted by the law despite he the reason that many criminals are behind bars. When Blake is murdered, Rorschach, as the only one still on the streets, believes the murderer is out to kill all the Watchmen, despite any number of people wanting to kill the Comedian for being a misogynist. Evidence points to it perhaps having something to do with an imminent attempt of nuclear annihilation. Rorschach has to convince his colleagues, who he has not seen since their superhero days, of the validity of his theory for them to come out of retirement, which is no easy task. If they do, which will require them to overcome external forces which seem to be conspiring against them, they will have to discover both who killed the Comedian and why before they befall the same fate as him and/or before the mastermind is able to exact his larger grand plan. —Huggo"
The Book of Eli,/title/tt1037705/,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.","In a violent post-apocalyptic society, a drifter, Eli (Denzel Washington), has been wandering westward across North America for the last thirty years. He finds solace in a unique book which he carries on his person and guards closely, while surviving by hunting small animals and seeking goods in destroyed houses and vehicles to trade in villages for water and supplies. When he reaches a village ruled by the powerful mobster, Carnegie (Gary Oldman), the man views Eli's impressive fighting skills and offers Eli a place within his gang. Carnegie presses his blind lover Claudia (Jennifer Beals) to send her daughter, Solara (Mila Kunis), to at least convince Eli to spend the night by sleeping with him. However, Eli proves to be the better man when he gently declines her advances. The girl sees Eli's book, and when Carnegie finds out he beats her mother until she reveals what she saw. Carnegie sends his gang into the wasteland to take the book from Eli, but the man proves to be a formidable foe as he makes it more than clear that if they want the book, they must first take his life. —Harry Jankel, London, England"
Prince of Persia: The Sands of Time,/title/tt0473075/,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,"Set in the mystical lands of Persia, a rogue prince and a mysterious princess race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time -- a gift from the gods that can reverse time and allow its possessor to rule the world. —Walt Disney Pictures"
Shrek Forever After,/title/tt0892791/,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,"The once hideous ogre Shrek (Mike Myers) is now living a good life with wife Fiona (Cameron Diaz) and his three children. But he soon has a meltdown in front of them and his friends during his kids' birthday party. He suddenly wants to be a real ogre like he was before he ever met Fiona. So he turns to devious dealmaker Rumpelstiltskin (Walt Dohrn) for help. At first, Shrek lives the life he once lost and everything is good. But he soon finds out that he has been set up by Rumpelstiltskin, who now rules the land with an iron fist. Teaming with friends Donkey (Eddie Murphy), Fiona, and Puss in Boots (Antonio Banderas), Shrek is in for the fight of his life as he tries to get his life back before time runs out. —Blazer346"
Predators,/title/tt1424381/,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,"When a group of people find themselves in a jungle, they realize that they are on a completely different planet and it's home to a race of extraterrestrial hunters. The group consists of a mercenary known as Royce, an IDF sniper known as Isabelle, a Russian Spetsnaz known as Nikolai, a drug cartel enforcer known as Cuchillo, an RUF officer known as Mombasa, a death row inmate known as Stans, a Yakuza assassin known as Hanzo, and an American doctor known as Edwin. It's up to these 8 individuals to stop their hunters and get off the planet."
Superbad,/title/tt0829482/,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,"Seth and Evan are best friends, inseparable, navigating the last weeks of high school. Usually shunned by the popular kids, Seth and Evan luck into an invitation to a party, and spend a long day, with the help of their nerdy friend Fogell, trying to score enough alcohol to lubricate the party and inebriate two girls, Jules and Becca, so they can kick-start their sex lives and go off to college with a summer full of experience and new skills. Their quest is complicated by Fogell's falling in with two inept cops who both slow and assist the plan. If they do get the liquor to the party, what then? Is sex the only rite of passage at hand? —<jhailey@hotmail.com>"
American Pie,/title/tt0163651/,Four teenage boys enter a pact to lose their virginity by prom night.Four teenage boys enter a pact to lose their virginity by prom night.Four teenage boys enter a pact to lose their virginity by prom night.,"Jim, Oz, Finch and Kevin are four friends who make a pact that before they graduate they will all lose their virginity. The hard job now is how to reach that goal by prom night. Whilst Oz begins singing to grab attention and Kevin tries to persuade his girlfriend, Finch tries any easy route of spreading rumors and Jim fails miserably. Whether it is being caught on top of a pie or on the Internet, Jim always ends up with his trusty sex advice from his father. Will they achieve their goal of getting laid by prom night? Or will they learn something much different? —Film_Fan"
Scream,/title/tt0117571/,"A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.","A year after her mother's death, Sidney Prescott (Neve Campbell) and her friends started experiencing some strange phone calls. They later learned the calls were coming from a crazed serial killer, in a white faced mask and a large black robe, looking for revenge. His phone calls usually consist of many questions, the main one being: What's your favorite scary movie? Along with much scary movie trivia, ending with bloody pieces of innocent lives scattered around the small town of Woodsboro. —Joss Oran"
Star Wars: Episode V - The Empire Strikes Back,/title/tt0080684/,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader ... Read allAfter the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Luke Skywalker, Han Solo, Princess Leia and Chewbacca face attack by the Imperial forces and its AT-AT walkers on the ice planet Hoth. While Han and Leia escape in the Millennium Falcon, Luke travels to Dagobah in search of Yoda. Only with the Jedi Master's help will Luke survive when the Dark Side of the Force beckons him into the ultimate duel with Darth Vader. —Jwelch5742"
Finding Nemo,/title/tt0266543/,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","A clown fish named Marlin lives in the Great Barrier Reef and loses his son, Nemo, after he ventures into the open sea, despite his father's constant warnings about many of the ocean's dangers. Nemo is abducted by a boat and netted up and sent to a dentist's office in Sydney. While Marlin ventures off to try to retrieve Nemo, Marlin meets a fish named Dory, a blue tang suffering from short-term memory loss. The companions travel a great distance, encountering various dangerous sea creatures such as sharks, anglerfish and jellyfish, in order to rescue Nemo from the dentist's office, which is situated by Sydney Harbour. While the two are searching the ocean far and wide, Nemo and the other sea animals in the dentist's fish tank plot a way to return to the sea to live their lives free again. —David Morris"
Love Actually,/title/tt0314331/,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.","Against the backdrop of aged has-been rock star Billy Mack's (Bill Nighy's) Christmas themed comeback cover of ""Love Is All Around"", which he knows is crap and makes no bones about it, much to his manager Joe's (Gregor Fisher's) chagrin as he promotes the record, several interrelated stories about romantic love and the obstacles to happiness through love for Londoners are presented in the five weeks preceding Christmas. Daniel's (Liam Neeson's) wife has just died, leaving him to take care of his adolescent stepson Sam (Thomas Brodie-Sangster) by himself. Daniel is uncertain how to deal with Sam and his problems without his wife present, especially in light of a potential budding romance within their household. Juliet (Keira Knightley) and Peter (Chiwetel Ejiofor) have just gotten married. They believe that Peter's best friend and best man Mark (Andrew Lincoln) hates Juliet, but won't say so to his or her face. Others looking at the situation from the outside believe Mark is jealous of Juliet, as he is in love with Peter. Jamie (Colin Firth), a writer, is taking a writing retreat by himself in rural France following catching his latest girlfriend (Sienna Guillory) in an indiscretion. Jamie ends up spending much time in France with Aurelia (Lúcia Moniz), the Portuguese woman hired as the housekeeper. The question becomes not only if they can communicate their day-to-day needs with each other as she speaks no English, he speaks no Portuguese, and neither speaks French very well, but communicate what seems to be their increasing mutual attraction to each other. Sarah (Laura Linney) has been in love with her co-worker Karl (Rodrigo Santoro) for the two years they have worked together, this attraction about which everyone in their workplace knows. Sarah has to decide if she can be forward enough to express this love directly to Karl, especially in light of what has been her personal priority of dealing with a family issue. Harry (Alan Rickman) and Karen (Dame Emma Thompson) have been in a stable long term marriage. His new assistant Mia (Heike Makatsch) drops hints to him that she would like them to be romantically involved. Harry has to decide whether to fall to the temptation, especially considering being married to a perceptive wife. Single and relatively young David (Hugh Grant) is the newly elected Prime Minister. At 10 Downing Street, he is attracted to one of the new household servants, Natalie (Martine McCutcheon), but isn't sure what to do about it seeing as to their respective positions, the probable public scrutiny, and an incident involving the visiting U.S. President (Billy Bob Thornton). Socially unaware Colin Frissell (Kris Marshall) believes that the lack of romantic love in his life is all the fault of standoffish British women. As such, he decides to take decisive albeit somewhat unusual geographic action. And John (Martin Freeman) and Judy (Joanna Page) are movie body doubles. They can communicate with each other straightforwardly while they are simulating sex filming a movie, but they may not be able to translate the feelings behind that simulation in real-life to each other. —Huggo"
The Incredible Hulk,/title/tt0800080/,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.","Depicting the events after the Gamma Bomb. 'The Incredible Hulk' tells the story of Dr Bruce Banner, who seeks a cure to his unique condition, which causes him to turn into a giant green monster under emotional stress. Whilst on the run from military which seeks his capture, Banner comes close to a cure. But all is lost when a new creature emerges: The Abomination. —Graham Kroon"
Harry Potter and the Goblet of Fire,/title/tt0330373/,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.","Harry's (Daniel Radcliffe's) fourth year at Hogwarts is about to start and he is enjoying the summer vacation with his friends. They get the tickets to The Quidditch World Cup Final, but after the match is over, people dressed like Lord Voldemort's (Ralph Fiennes') ""Death Eaters"" set a fire to all of the visitors' tents, coupled with the appearance of Voldemort's symbol, the ""Dark Mark"" in the sky, which causes a frenzy across the magical community. That same year, Hogwarts is hosting ""The Triwizard Tournament"", a magical tournament between three well-known schools of magic : Hogwarts, Beauxbatons, and Durmstrang. The contestants have to be above the age of seventeen, and are chosen by a magical object called ""The Goblet of Fire"". On the night of selection, however, the Goblet spews out four names instead of the usual three, with Harry unwittingly being selected as the Fourth Champion. Since the magic cannot be reversed, Harry is forced to go with it and brave three exceedingly difficult tasks. —Soumitra"
A Nightmare on Elm Street,/title/tt1179056/,"The spectre of a disfigured man haunts the children of the parents who murdered him, stalking and killing them in their dreams.The spectre of a disfigured man haunts the children of the parents who murdered him, stalking and killing them in their dreams.The spectre of a disfigured man haunts the children of the parents who murdered him, stalking and killing them in their dreams.","Death stalks the dreams of several young adults to claim its revenge on the killing of Freddy Kruger. Chased and chastised by this finger-bladed demon, it is the awakening of old memories and the denials of a past of retribution that spurns this hellish vision of a dreamlike state and turns death into a nightmare reality. —Cinema_Fan"
I Spit on Your Grave,/title/tt1242432/,"A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead.A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead.A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead.","The writer Jennifer Hills rents an isolated lakeside cabin in the woods of the peaceful Mockingbird Trail for two months to write a novel. Two days later, she is brutally gang raped by three local bigots, the sheriff and a handyman. Jennifer returns later to revenge against the rapists. —Claudio Carvalho, Rio de Janeiro, Brazil"
